date,topic,sum_probability
2017-03-02,1,0.283281177943211
2017-03-02,2,0.06570536047609636
2017-03-02,3,0.007939148384829918
2017-03-02,4,0.004584733293805038
2017-03-02,5,0.0817307903463118
2017-03-02,6,0.06816489887344358
2017-03-02,7,0.3133666029821903
2017-03-02,8,3.354415091024881e-4
2017-03-02,9,0.174556404681907
2017-03-02,10,3.354415091024881e-4
2017-03-03,1,0.03568077126747382
2017-03-03,2,0.2807017239300244
2017-03-03,3,0.03347326574871002
2017-03-03,4,0.06658584853016697
2017-03-03,5,0.26244261704309885
2017-03-03,6,0.011530583026042016
2017-03-03,7,0.18112992378769996
2017-03-03,8,0.002124351397588165
2017-03-03,9,0.003596021743430697
2017-03-03,10,0.12273489352576514
2017-03-04,1,0.5238178633975482
2017-03-04,2,0.001926444833625219
2017-03-04,3,1.7513134851138354e-4
2017-03-04,4,0.35919439579684764
2017-03-04,5,0.001926444833625219
2017-03-04,6,0.11050788091068302
2017-03-04,7,1.7513134851138354e-4
2017-03-04,8,1.7513134851138354e-4
2017-03-04,9,1.7513134851138354e-4
2017-03-04,10,0.001926444833625219
2017-03-05,1,0.009627329192546583
2017-03-05,2,0.32639751552795027
2017-03-05,3,0.27049689440993785
2017-03-05,4,3.1055900621118014e-4
2017-03-05,5,0.24254658385093167
2017-03-05,6,3.1055900621118014e-4
2017-03-05,7,0.14937888198757765
2017-03-05,8,3.1055900621118014e-4
2017-03-05,9,3.1055900621118014e-4
2017-03-05,10,3.1055900621118014e-4
2017-03-06,1,0.15498616045120212
2017-03-06,2,0.020054993952848214
2017-03-06,3,0.007801342144961002
2017-03-06,4,0.1782618133065037
2017-03-06,5,0.15303688039775667
2017-03-06,6,0.18123563924450267
2017-03-06,7,0.1533073444092971
2017-03-06,8,7.609565574899341e-4
2017-03-06,9,0.13860212134416805
2017-03-06,10,0.011952748191270518
2017-03-07,1,0.06590609881701003
2017-03-07,2,0.38867259206371546
2017-03-07,3,0.021288940612895296
2017-03-07,4,0.12468272197277835
2017-03-07,5,0.3170507907079488
2017-03-07,6,3.09919633874315e-4
2017-03-07,7,0.035857705181659864
2017-03-07,8,3.09919633874315e-4
2017-03-07,9,0.013021784040653975
2017-03-07,10,0.03289952733558964
2017-03-08,1,0.012162609984087773
2017-03-08,2,0.05277466995570158
2017-03-08,3,0.12182647553030626
2017-03-08,4,0.11597065951969149
2017-03-08,5,0.22643533447824998
2017-03-08,6,0.0560970065925386
2017-03-08,7,0.22644569966411895
2017-03-08,8,0.03252700734765451
2017-03-08,9,0.0813324353810844
2017-03-08,10,0.07442810154656641
2017-03-09,1,0.028051845743565337
2017-03-09,2,0.22915159627480422
2017-03-09,3,0.021951009184732702
2017-03-09,4,0.012655439104848894
2017-03-09,5,0.2712550354007714
2017-03-09,6,0.09429612956906877
2017-03-09,7,0.04624546377746878
2017-03-09,8,0.11063879199016258
2017-03-09,9,0.10304029494239016
2017-03-09,10,0.08271439401218715
2017-03-10,1,0.124767954382848
2017-03-10,2,0.07458038566514812
2017-03-10,3,0.0959968704069199
2017-03-10,4,0.13454775802614016
2017-03-10,5,0.2243163930928153
2017-03-10,6,0.21104935397093638
2017-03-10,7,0.033493321730422694
2017-03-10,8,0.0033843089428955116
2017-03-10,9,0.02685390481301486
2017-03-10,10,0.071009748968859
2017-03-11,1,0.13408695652173913
2017-03-11,2,0.108
2017-03-11,3,0.028000000000000004
2017-03-11,4,1.7391304347826088e-4
2017-03-11,5,1.7391304347826088e-4
2017-03-11,6,0.03321739130434783
2017-03-11,7,1.7391304347826088e-4
2017-03-11,8,1.7391304347826088e-4
2017-03-11,9,0.6175652173913044
2017-03-11,10,0.07843478260869566
2017-03-12,1,7.246376811594203e-4
2017-03-12,2,0.12391304347826088
2017-03-12,3,0.6891304347826086
2017-03-12,4,7.246376811594203e-4
2017-03-12,5,0.04420289855072464
2017-03-12,6,0.11666666666666668
2017-03-12,7,7.246376811594203e-4
2017-03-12,8,7.246376811594203e-4
2017-03-12,9,0.02246376811594203
2017-03-12,10,7.246376811594203e-4
2017-03-13,1,0.24176863840230176
2017-03-13,2,0.0677058475078277
2017-03-13,3,0.08821866802064822
2017-03-13,4,0.24176863840230176
2017-03-13,5,1.844799864601845e-4
2017-03-13,6,0.17193703985783193
2017-03-13,7,1.844799864601845e-4
2017-03-13,8,0.013004992806973004
2017-03-13,9,0.14683760683760685
2017-03-13,10,0.02838960819158839
2017-03-14,1,0.03154828080952278
2017-03-14,2,0.017465747169530182
2017-03-14,3,0.08501526086465416
2017-03-14,4,0.030133105982499273
2017-03-14,5,0.001048902058894921
2017-03-14,6,0.19984341391550528
2017-03-14,7,0.0823017108991413
2017-03-14,8,0.008900436677024828
2017-03-14,9,0.3397994818515875
2017-03-14,10,0.2039436597716398
2017-03-15,1,0.21511296058754056
2017-03-15,2,0.10079232483017182
2017-03-15,3,0.06191306144546454
2017-03-15,4,0.1130171196304665
2017-03-15,5,0.08150760474864018
2017-03-15,6,0.0968000428942914
2017-03-15,7,0.0076465595560238925
2017-03-15,8,0.08170235974843651
2017-03-15,9,0.1364129147120416
2017-03-15,10,0.10509505184692305
2017-03-16,1,2.405705243930335e-4
2017-03-16,2,0.28411053506951556
2017-03-16,3,0.059002360344435074
2017-03-16,4,0.023678070524393035
2017-03-16,5,0.24929007883283677
2017-03-16,6,0.014496782102261886
2017-03-16,7,0.027319221191446398
2017-03-16,8,0.07907531751145398
2017-03-16,9,0.1699849087606021
2017-03-16,10,0.09280215513866218
2017-03-17,1,0.1712868258493704
2017-03-17,2,0.27634599188661113
2017-03-17,3,0.02459095736570178
2017-03-17,4,0.021111074172969792
2017-03-17,5,0.12365541767286164
2017-03-17,6,0.027458657354708992
2017-03-17,7,0.05207617028896856
2017-03-17,8,0.1511348682460825
2017-03-17,9,0.010249620571412361
2017-03-17,10,0.14209041659131286
2017-03-18,1,1.1248593925759281e-4
2017-03-18,2,0.050731158605174353
2017-03-18,3,1.1248593925759281e-4
2017-03-18,4,0.0012373453318335209
2017-03-18,5,1.1248593925759281e-4
2017-03-18,6,0.2925759280089989
2017-03-18,7,1.1248593925759281e-4
2017-03-18,8,0.0203599550056243
2017-03-18,9,0.3780652418447694
2017-03-18,10,0.25658042744656917
2017-03-19,1,2.5575447570332484e-4
2017-03-19,2,0.2227621483375959
2017-03-19,3,2.5575447570332484e-4
2017-03-19,4,2.5575447570332484e-4
2017-03-19,5,0.002813299232736573
2017-03-19,6,2.5575447570332484e-4
2017-03-19,7,0.43503836317135547
2017-03-19,8,0.01815856777493606
2017-03-19,9,0.13580562659846548
2017-03-19,10,0.18439897698209717
2017-03-20,1,0.14284378651060226
2017-03-20,2,0.06459097504197349
2017-03-20,3,0.04105105321059437
2017-03-20,4,0.021193651016377213
2017-03-20,5,0.1742206046716031
2017-03-20,6,0.03899469813679606
2017-03-20,7,0.03428265625197931
2017-03-20,8,0.22014653059752906
2017-03-20,9,0.1794861606851399
2017-03-20,10,0.08318988387740525
2017-03-21,1,0.3339464871075658
2017-03-21,2,0.09542759372791858
2017-03-21,3,0.0316876772519573
2017-03-21,4,0.10284970453372297
2017-03-21,5,4.763817354846712e-4
2017-03-21,6,0.2255014107594243
2017-03-21,7,0.13312004191392185
2017-03-21,8,0.0035344857110198398
2017-03-21,9,0.025264634259288606
2017-03-21,10,0.04819158299969607
2017-03-22,1,0.32487797504210875
2017-03-22,2,0.025773528499382685
2017-03-22,3,0.023323133680971136
2017-03-22,4,0.07136828405088656
2017-03-22,5,3.1499940523122764e-4
2017-03-22,6,0.09229250546724432
2017-03-22,7,0.08202521318195331
2017-03-22,8,0.006285148658962571
2017-03-22,9,0.13397269247011367
2017-03-22,10,0.23976651954314576
2017-03-23,1,0.036427244787091355
2017-03-23,2,0.18256822892390154
2017-03-23,3,0.10852905555743692
2017-03-23,4,0.08284699183332012
2017-03-23,5,0.2126776296536286
2017-03-23,6,0.1425826608381898
2017-03-23,7,0.13659683835129438
2017-03-23,8,0.010129841513106414
2017-03-23,9,0.007457365861339081
2017-03-23,10,0.08018414268069182
2017-03-24,1,0.1236174080455939
2017-03-24,2,0.04527850910607865
2017-03-24,3,0.13131681414174515
2017-03-24,4,0.16132316717575232
2017-03-24,5,0.10472365184595038
2017-03-24,6,0.25529438896928675
2017-03-24,7,0.05531180937684594
2017-03-24,8,2.334640610335992e-4
2017-03-24,9,0.028509311039170655
2017-03-24,10,0.09439147623854265
2017-03-26,1,0.03655870813951563
2017-03-26,2,0.09393426476187323
2017-03-26,3,0.027445827608468937
2017-03-26,4,0.05080741280272806
2017-03-26,5,0.013068830803357115
2017-03-26,6,0.04433072886490423
2017-03-26,7,0.07696659438163188
2017-03-26,8,2.892780877021636e-4
2017-03-26,9,0.3156355013325829
2017-03-26,10,0.3409628532172358
2017-03-27,1,0.10336541040877403
2017-03-27,2,0.11502467017049071
2017-03-27,3,0.07021564514807425
2017-03-27,4,0.043294911420738255
2017-03-27,5,0.15500541907833307
2017-03-27,6,0.14625480451133333
2017-03-27,7,0.06279578060779767
2017-03-27,8,0.07036730493507858
2017-03-27,9,0.17150649644960775
2017-03-27,10,0.06216955726977236
2017-03-28,1,0.052929699801669124
2017-03-28,2,0.21057689579420813
2017-03-28,3,0.03313833860519948
2017-03-28,4,0.0208864151211915
2017-03-28,5,0.10219665293809195
2017-03-28,6,0.057549967246205556
2017-03-28,7,0.12216828178108907
2017-03-28,8,0.05032150461232669
2017-03-28,9,0.2576270794631724
2017-03-28,10,0.09260516463684611
2017-03-29,1,0.1302719893152154
2017-03-29,2,0.081501015801184
2017-03-29,3,0.03468378578533997
2017-03-29,4,0.10111620263268321
2017-03-29,5,0.10286366810797488
2017-03-29,6,0.1342166172228064
2017-03-29,7,0.07074850810536566
2017-03-29,8,0.09932849600245847
2017-03-29,9,0.13726947646565277
2017-03-29,10,0.10800024056131925
2017-03-30,1,0.04065175876298025
2017-03-30,2,0.05959123041136212
2017-03-30,3,0.003321508667242783
2017-03-30,4,0.14516041614527803
2017-03-30,5,0.018910650950662175
2017-03-30,6,0.07499600379595676
2017-03-30,7,0.20875361080965804
2017-03-30,8,0.03259933425530934
2017-03-30,9,0.1855968284337036
2017-03-30,10,0.23041865776784687
2017-04-01,1,0.007600596125186289
2017-04-01,2,0.09254843517138599
2017-04-01,3,0.6782414307004472
2017-04-01,4,1.4903129657228018e-4
2017-04-01,5,1.4903129657228018e-4
2017-04-01,6,1.4903129657228018e-4
2017-04-01,7,0.09105812220566319
2017-04-01,8,0.004619970193740686
2017-04-01,9,1.4903129657228018e-4
2017-04-01,10,0.12533532041728762
2017-04-02,1,0.03717990386816205
2017-04-02,2,0.1392581826504921
2017-04-02,3,0.036344472419317916
2017-04-02,4,2.1492332341496912e-4
2017-04-02,5,0.4090933852140078
2017-04-02,6,0.0202813000686656
2017-04-02,7,0.06672899977111468
2017-04-02,8,0.009626688029297321
2017-04-02,9,0.055509040970473794
2017-04-02,10,0.22576310368505376
2017-04-03,1,0.0597255045347935
2017-04-03,2,0.48544763807264585
2017-04-03,3,0.007229807460783177
2017-04-03,4,0.11480295720260761
2017-04-03,5,0.006369222262848581
2017-04-03,6,0.1337536675198202
2017-04-03,7,0.08320209037482275
2017-04-03,8,3.451258773064129e-4
2017-04-03,9,3.451258773064129e-4
2017-04-03,10,0.10877886081706545
2017-04-04,1,0.02732917846258394
2017-04-04,2,0.09964056847137676
2017-04-04,3,0.051664240541377894
2017-04-04,4,0.11333394701503981
2017-04-04,5,0.16913675337372072
2017-04-04,6,0.11516148796192181
2017-04-04,7,0.1550594334365291
2017-04-04,8,0.037024114481495556
2017-04-04,9,0.12902857352097208
2017-04-04,10,0.10262170273498238
2017-04-05,1,0.13484382731683425
2017-04-05,2,0.15724376861700476
2017-04-05,3,0.052221553675853835
2017-04-05,4,0.29130379641538956
2017-04-05,5,0.006540058549699808
2017-04-05,6,0.07424347971099553
2017-04-05,7,0.10092575888879295
2017-04-05,8,0.00421024778052437
2017-04-05,9,0.003242121225934298
2017-04-05,10,0.17522538781897068
2017-04-06,1,0.31296881091617934
2017-04-06,2,0.029693957115009745
2017-04-06,3,0.06602923976608187
2017-04-06,4,0.18659454191033137
2017-04-06,5,0.05082456140350877
2017-04-06,6,0.045639376218323584
2017-04-06,7,4.541910331384016e-4
2017-04-06,8,4.541910331384016e-4
2017-04-06,9,0.2772573099415205
2017-04-06,10,0.030083820662768032
2017-04-07,1,0.22503079543506396
2017-04-07,2,0.04727016759809321
2017-04-07,3,0.14145384389841956
2017-04-07,4,0.10381739523740637
2017-04-07,5,0.15065546444322117
2017-04-07,6,0.091805306228123
2017-04-07,7,0.053317321548269334
2017-04-07,8,0.04378694680247598
2017-04-07,9,0.0853256027728642
2017-04-07,10,0.05753715603606318
2017-04-09,1,0.08108757325370705
2017-04-09,2,0.13462835135443757
2017-04-09,3,0.05220592011073491
2017-04-09,4,0.1810526143719832
2017-04-09,5,0.06899847198505497
2017-04-09,6,0.055005411316288076
2017-04-09,7,0.09970173018716616
2017-04-09,8,0.1607639134813577
2017-04-09,9,0.014535739741222251
2017-04-09,10,0.15202027419804812
2017-04-10,1,0.26906307977736554
2017-04-10,2,0.06405380333951763
2017-04-10,3,0.13269944341372913
2017-04-10,4,0.02787569573283859
2017-04-10,5,0.07240259740259741
2017-04-10,6,0.04271799628942487
2017-04-10,7,0.025092764378478665
2017-04-10,8,0.2843692022263451
2017-04-10,9,0.025092764378478665
2017-04-10,10,0.056632653061224496
2017-04-11,1,0.2869266055045872
2017-04-11,2,0.04839449541284403
2017-04-11,3,0.025458715596330277
2017-04-11,4,0.025458715596330277
2017-04-11,5,0.025458715596330277
2017-04-11,6,0.23646788990825687
2017-04-11,7,0.025458715596330277
2017-04-11,8,0.2754587155963303
2017-04-11,9,0.025458715596330277
2017-04-11,10,0.025458715596330277
2017-04-12,1,3.5714285714285714e-4
2017-04-12,2,0.018214285714285714
2017-04-12,3,3.5714285714285714e-4
2017-04-12,4,0.4825
2017-04-12,5,0.07535714285714286
2017-04-12,6,0.11821428571428572
2017-04-12,7,3.5714285714285714e-4
2017-04-12,8,3.5714285714285714e-4
2017-04-12,9,3.5714285714285714e-4
2017-04-12,10,0.3039285714285714
2017-04-13,1,0.16341537309512297
2017-04-13,2,0.10293428724520913
2017-04-13,3,0.054030814033183286
2017-04-13,4,0.11179239078577421
2017-04-13,5,0.003105997479139086
2017-04-13,6,0.041166904743292744
2017-04-13,7,0.04759368679295582
2017-04-13,8,0.22158838339961134
2017-04-13,9,0.12574750691310135
2017-04-13,10,0.12862465551261004
2017-04-14,1,0.3495581342993389
2017-04-14,2,0.03643110046867645
2017-04-14,3,0.009356337365178772
2017-04-14,4,0.022698266511123392
2017-04-14,5,2.263563987638403e-4
2017-04-14,6,0.17656331225312621
2017-04-14,7,0.36726755490063656
2017-04-14,8,2.263563987638403e-4
2017-04-14,9,2.263563987638403e-4
2017-04-14,10,0.03744622500562821
2017-04-15,1,1.788908765652952e-4
2017-04-15,2,0.06457960644007156
2017-04-15,3,0.005545617173524151
2017-04-15,4,1.788908765652952e-4
2017-04-15,5,0.021645796064400716
2017-04-15,6,0.2810375670840787
2017-04-15,7,0.08425760286225403
2017-04-15,8,0.061001788908765654
2017-04-15,9,0.3955277280858676
2017-04-15,10,0.08604651162790698
2017-04-16,1,0.072018348623853215
2017-04-16,2,1.5290519877675843e-4
2017-04-16,3,0.03379204892966361
2017-04-16,4,0.5750764525993884
2017-04-16,5,0.17905198776758408
2017-04-16,6,1.5290519877675843e-4
2017-04-16,7,0.010856269113149847
2017-04-16,8,0.003211009174311927
2017-04-16,9,1.5290519877675843e-4
2017-04-16,10,0.12553516819571864
2017-04-17,1,0.31781662522818255
2017-04-17,2,0.15641084045190518
2017-04-17,3,0.001422784485575977
2017-04-17,4,0.09965970789028461
2017-04-17,5,0.06853687844530752
2017-04-17,6,0.2811854566268171
2017-04-17,7,3.042162529137845e-4
2017-04-17,8,3.042162529137845e-4
2017-04-17,9,0.006747584560688871
2017-04-17,10,0.06761168980541066
2017-04-18,1,0.01313331415288808
2017-04-18,2,0.025817577139875786
2017-04-18,3,0.03136590796834865
2017-04-18,4,0.01313331415288808
2017-04-18,5,0.033274985705052405
2017-04-18,6,0.19057675594241527
2017-04-18,7,0.12812103134431468
2017-04-18,8,0.19298206860128667
2017-04-18,9,0.21253837734545603
2017-04-18,10,0.15905666764747434
2017-04-19,1,0.2614829768144685
2017-04-19,2,0.0013186475893658216
2017-04-19,3,0.11137909052273694
2017-04-19,4,0.0978974831184776
2017-04-19,5,0.00960594040704538
2017-04-19,6,3.9783727629031496e-4
2017-04-19,7,0.14864829768144686
2017-04-19,8,3.9783727629031496e-4
2017-04-19,9,0.2665120177551117
2017-04-19,10,0.1023598715587666
2017-04-20,1,0.19060977262353074
2017-04-20,2,0.013099930103845716
2017-04-20,3,0.0424705794248545
2017-04-20,4,0.013099930103845716
2017-04-20,5,0.09915065474152686
2017-04-20,6,0.0926289156110921
2017-04-20,7,0.04747493010384571
2017-04-20,8,0.2970156125185439
2017-04-20,9,0.022942449788885086
2017-04-20,10,0.18150722498002966
2017-04-21,1,0.4673652694610778
2017-04-21,2,0.10209580838323354
2017-04-21,3,2.994011976047904e-4
2017-04-21,4,0.15
2017-04-21,5,2.994011976047904e-4
2017-04-21,6,0.01526946107784431
2017-04-21,7,0.11407185628742515
2017-04-21,8,2.994011976047904e-4
2017-04-21,9,0.04820359281437126
2017-04-21,10,0.10209580838323354
2017-04-22,1,0.0837993312177449
2017-04-22,2,0.14003672849951487
2017-04-22,3,0.036898941789339015
2017-04-22,4,0.04647839684483902
2017-04-22,5,0.026952885114376695
2017-04-22,6,0.10341253339685573
2017-04-22,7,0.033435670223550186
2017-04-22,8,0.17448003485809854
2017-04-22,9,0.14939027800520094
2017-04-22,10,0.2051152000504801
2017-04-23,1,0.01637393253683556
2017-04-23,2,0.2362804753648873
2017-04-23,3,0.04075676220480026
2017-04-23,4,0.01196164198522746
2017-04-23,5,1.9943171136753416e-4
2017-04-23,6,0.059719525232232236
2017-04-23,7,0.07512637910981217
2017-04-23,8,0.03160359118647556
2017-04-23,9,0.29871515919356617
2017-04-23,10,0.22926310147479573
2017-04-24,1,0.07605648370254867
2017-04-24,2,0.012418573076460483
2017-04-24,3,0.04579151994601952
2017-04-24,4,0.07276661559703308
2017-04-24,5,2.7523370254867424e-4
2017-04-24,6,0.12261542638690454
2017-04-24,7,0.05578554243669343
2017-04-24,8,0.0374454974915175
2017-04-24,9,0.2500591609579302
2017-04-24,10,0.3267859467023439
2017-04-25,1,0.01808694767617096
2017-04-25,2,0.048279430938495974
2017-04-25,3,0.17320335059765604
2017-04-25,4,0.08406381925255561
2017-04-25,5,0.050934634833809424
2017-04-25,6,0.11928325634553795
2017-04-25,7,0.0744929123748928
2017-04-25,8,0.15445496700106368
2017-04-25,9,0.20471229113151154
2017-04-25,10,0.07248838984830601
2017-04-26,1,6.024096385542169e-4
2017-04-26,2,0.21144578313253012
2017-04-26,3,0.7716867469879518
2017-04-26,4,6.024096385542169e-4
2017-04-26,5,6.024096385542169e-4
2017-04-26,6,0.012650602409638554
2017-04-26,7,6.024096385542169e-4
2017-04-26,8,6.024096385542169e-4
2017-04-26,9,6.024096385542169e-4
2017-04-26,10,6.024096385542169e-4
2017-04-27,1,0.0992987773722826
2017-04-27,2,0.14056590644156663
2017-04-27,3,0.0016163427565396408
2017-04-27,4,2.93591433788318e-4
2017-04-27,5,0.12529359143378832
2017-04-27,6,0.1884972599979882
2017-04-27,7,0.05096363686446658
2017-04-27,8,0.011044852762921026
2017-04-27,9,0.3306776404715255
2017-04-27,10,0.0517484004651332
2017-04-28,1,0.2139774253408086
2017-04-28,2,0.02397650885943851
2017-04-28,3,0.0595420089892778
2017-04-28,4,0.07458954984770425
2017-04-28,5,0.14157304031866694
2017-04-28,6,0.029241428819263428
2017-04-28,7,0.05632179790574567
2017-04-28,8,0.042489726911145706
2017-04-28,9,0.20306826388482868
2017-04-28,10,0.1552202491231204
2017-04-29,1,0.06616774277944214
2017-04-29,2,0.1275914160244166
2017-04-29,3,0.0015129625873377137
2017-04-29,4,0.014001449175728426
2017-04-29,5,0.0047341986865678245
2017-04-29,6,0.20755363899906978
2017-04-29,7,0.09026368915617805
2017-04-29,8,0.014314856792506828
2017-04-29,9,0.34856937545629685
2017-04-29,10,0.1252906703424558
2017-05-01,1,0.027233910783133582
2017-05-01,2,0.004183894209800945
2017-05-01,3,2.97883847106645e-4
2017-05-01,4,0.25113963468885747
2017-05-01,5,0.044339334624308724
2017-05-01,6,0.2341039933008845
2017-05-01,7,2.97883847106645e-4
2017-05-01,8,0.10274724795450185
2017-05-01,9,2.97883847106645e-4
2017-05-01,10,0.33535833289719297
2017-05-02,1,0.0477983935961171
2017-05-02,2,0.019321398495015078
2017-05-02,3,0.01779468093776317
2017-05-02,4,0.03314607046806661
2017-05-02,5,0.016776869232928565
2017-05-02,6,0.2774525730533446
2017-05-02,7,0.10278195829145273
2017-05-02,8,0.19972852317694895
2017-05-02,9,0.1610435286553838
2017-05-02,10,0.12415600409297946
2017-05-03,1,0.05126759607074766
2017-05-03,2,0.02210513008178234
2017-05-03,3,0.06593359332531644
2017-05-03,4,0.023581826172480287
2017-05-03,5,0.14805426439939867
2017-05-03,6,0.38433093885532466
2017-05-03,7,0.08230264989230535
2017-05-03,8,0.04291515950581362
2017-05-03,9,0.05717656760921008
2017-05-03,10,0.12233227408762087
2017-05-04,1,0.10792893110233727
2017-05-04,2,0.12188961989958455
2017-05-04,3,0.021398239197546843
2017-05-04,4,0.3176183162049916
2017-05-04,5,3.418553672486643e-4
2017-05-04,6,0.31763527196253416
2017-05-04,7,0.021856279865945447
2017-05-04,8,0.0030840857145978413
2017-05-04,9,0.0031570728341090365
2017-05-04,10,0.0850903278511046
2017-05-05,1,0.07753216861245263
2017-05-05,2,0.12037432366799973
2017-05-05,3,0.09804738773288385
2017-05-05,4,0.1319783119200373
2017-05-05,5,0.0651992812257376
2017-05-05,6,0.15790336495188495
2017-05-05,7,0.03363836836716823
2017-05-05,8,0.16113638820067866
2017-05-05,9,0.02741928285579944
2017-05-05,10,0.1267711224653576
2017-05-06,1,2.6171623749639587e-4
2017-05-06,2,0.21117617051478257
2017-05-06,3,0.043034577594428546
2017-05-06,4,2.6171623749639587e-4
2017-05-06,5,0.023123073169649788
2017-05-06,6,0.029932131212988225
2017-05-06,7,0.44867811120722156
2017-05-06,8,0.13151351830904695
2017-05-06,9,0.11175726927939318
2017-05-06,10,2.6171623749639587e-4
2017-05-07,1,0.04185533835547174
2017-05-07,2,0.0386056991379857
2017-05-07,3,0.07632048265859409
2017-05-07,4,0.06932471908657976
2017-05-07,5,0.043070776856261296
2017-05-07,6,0.04517539882162078
2017-05-07,7,0.17732828679514087
2017-05-07,8,0.11599732287403397
2017-05-07,9,0.0928745160578909
2017-05-07,10,0.29944745935642086
2017-05-08,1,0.09322969243637974
2017-05-08,2,0.012890845156894986
2017-05-08,3,0.021028766599169267
2017-05-08,4,0.010315694916763376
2017-05-08,5,0.11822705698290034
2017-05-08,6,0.2804206422272311
2017-05-08,7,0.17836401790854492
2017-05-08,8,0.05452630354498207
2017-05-08,9,0.1280413977806772
2017-05-08,10,0.102955582446457
2017-05-09,1,0.07059709699221924
2017-05-09,2,0.027000324732679482
2017-05-09,3,0.10674365700357111
2017-05-09,4,0.028400757782089926
2017-05-09,5,0.03695677427941142
2017-05-09,6,0.028066293467948766
2017-05-09,7,0.2845036333050437
2017-05-09,8,0.16038610158499247
2017-05-09,9,0.22355561111509836
2017-05-09,10,0.03378974973694553
2017-05-10,1,0.1009364192604416
2017-05-10,2,0.2800798084596967
2017-05-10,3,3.7776004256451185e-4
2017-05-10,4,0.15680234104815108
2017-05-10,5,0.06881351423250864
2017-05-10,6,0.0265682362330407
2017-05-10,7,0.026914072891726527
2017-05-10,8,3.7776004256451185e-4
2017-05-10,9,0.2884729981378026
2017-05-10,10,0.05065708965150306
2017-05-11,1,0.29491304225230713
2017-05-11,2,0.02407688158387007
2017-05-11,3,0.20054202191750173
2017-05-11,4,0.018301518554042752
2017-05-11,5,3.3276855404275297e-4
2017-05-11,6,0.2628317254966329
2017-05-11,7,0.12619373794179786
2017-05-11,8,0.0033633317408559397
2017-05-11,9,0.04370011549281826
2017-05-11,10,0.025744856466130665
2017-05-12,1,0.16009389671361504
2017-05-12,2,0.005164319248826292
2017-05-12,3,4.694835680751174e-4
2017-05-12,4,4.694835680751174e-4
2017-05-12,5,4.694835680751174e-4
2017-05-12,6,0.05211267605633803
2017-05-12,7,0.5685446009389671
2017-05-12,8,4.694835680751174e-4
2017-05-12,9,0.20704225352112676
2017-05-12,10,0.005164319248826292
2017-05-13,1,0.32720218237420073
2017-05-13,2,0.0033246455379482903
2017-05-13,3,0.005948359744231304
2017-05-13,4,0.29003926883514036
2017-05-13,5,0.026260425354462054
2017-05-13,6,0.0017955935501807064
2017-05-13,7,0.16994961078676676
2017-05-13,8,0.028675632471504033
